date,time,open,high,low,close,volume
"Mon-19-Dec-22,00:00:00",16730,17054,16203,16825,8921740845
"Mon-26-Dec-22,00:00:00",16825,16961,16353,16622,7179951178
"Mon-02-Jan-23,00:00:00",16622,17190,16552,17120,7471771344
"Mon-09-Jan-23,00:00:00",17120,21550,17094,20878,21955454642
"Mon-16-Jan-23,00:00:00",20878,23381,20385,22704,28258976636
"Mon-23-Jan-23,00:00:00",22704,23966,22319,23738,22849304566
"Mon-30-Jan-23,00:00:00",23738,24280,22480,22934,21591207298
"Mon-06-Feb-23,00:00:00",22934,23462,21431,21777,18142905085
"Mon-13-Feb-23,00:00:00",21777,25296,21328,24267,29818590300
"Mon-20-Feb-23,00:00:00",24267,25295,22712,23548,28696480496
"Mon-27-Feb-23,00:00:00",23548,24028,21905,22419,20513370369
"Mon-06-Mar-23,00:00:00",22419,22595,19535,21979,33088381892
"Mon-13-Mar-23,00:00:00",21979,28417,21804,27962,48812056167
"Mon-20-Mar-23,00:00:00",27962,28897,26583,27952,39258368390
"Mon-27-Mar-23,00:00:00",27952,29197,26474,28156,31562531684
"Mon-03-Apr-23,00:00:00",28156,28797,27175,28310,22248730266
"Mon-10-Apr-23,00:00:00",28310,31062,28137,30296,26899339024
"Mon-17-Apr-23,00:00:00",30296,30500,27058,27573,34273352491
"Mon-24-Apr-23,00:00:00",27573,30062,26933,29217,37587815259
"Mon-01-May-23,00:00:00",29217,29833,27640,28414,31743891482
"Mon-08-May-23,00:00:00",28414,28615,25764,26903,26992619575
"Mon-15-May-23,00:00:00",26903,27648,26341,26734,19205782839
"Mon-22-May-23,00:00:00",26734,28280,25851,28050,19126036964
"Mon-29-May-23,00:00:00",28050,28449,26481,27106,18091942394
"Mon-05-Jun-23,00:00:00",27106,27397,25324,25915,27039455961
"Mon-12-Jun-23,00:00:00",25915,26887,24780,26334,20513950771
"Mon-19-Jun-23,00:00:00",26334,31444,26250,30460,33645762644
"Mon-26-Jun-23,00:00:00",30460,31292,29413,30602,27166725578
"Mon-03-Jul-23,00:00:00",30602,31543,29675,30150,21077372768
"Mon-10-Jul-23,00:00:00",30150,31844,29873,30221,23132768329
"Mon-17-Jul-23,00:00:00",30221,30407,29362,30071,16330310373
"Mon-24-Jul-23,00:00:00",30071,30084,28851,29273,14127085959
"Mon-31-Jul-23,00:00:00",29273,30040,28556,29076,16945115342
"Mon-07-Aug-23,00:00:00",29076,30266,28677,29301,16013694003
"Mon-14-Aug-23,00:00:00",29301,29680,24201,26176,26526725843
"Mon-21-Aug-23,00:00:00",26176,26824,25267,26085,16883363035
"Mon-28-Aug-23,00:00:00",26085,28141,25305,25960,24488519870
"Mon-04-Sep-23,00:00:00",25960,26450,25342,25826,12584577414
"Mon-11-Sep-23,00:00:00",25826,26891,24853,26515,21058235625
"Mon-18-Sep-23,00:00:00",26515,27485,26079,26233,19156928692
"Mon-25-Sep-23,00:00:00",26233,28350,25971,27979,18294918687
"Mon-02-Oct-23,00:00:00",27979,28592,27132,27899,23802071128
"Mon-09-Oct-23,00:00:00",27899,27972,26523,27139,18135383023
"Mon-16-Oct-23,00:00:00",27139,30626,27098,29979,30292630377
"Mon-23-Oct-23,00:00:00",29979,36744,29875,34536,37308531174
"Mon-30-Oct-23,00:00:00",34536,36084,34026,35036,31798399852
"Mon-06-Nov-23,00:00:00",35036,38149,34527,37090,33548614638
"Mon-13-Nov-23,00:00:00",37090,38017,34543,37387,34836337123
"Mon-20-Nov-23,00:00:00",37387,38436,35613,37455,32692875147
"Mon-27-Nov-23,00:00:00",37455,40440,36714,40000,29326400990
"Mon-04-Dec-23,00:00:00",40000,44777,39997,43824,42472436176
"Mon-11-Dec-23,00:00:00",43824,43855,40168,41395,45999294317
"Mon-18-Dec-23,00:00:00",41395,44474,40566,43022,33649041788
"Mon-25-Dec-23,00:00:00",43022,43874,41278,42325,28190123175
"Mon-01-Jan-24,00:00:00",42325,45946,40210,43936,44648132989
"Mon-08-Jan-24,00:00:00",43936,49054,41323,41731,65477032157
"Mon-15-Jan-24,00:00:00",41731,43580,40269,41586,30056919819
"Mon-22-Jan-24,00:00:00",41586,42840,38532,42016,39262506578
"Mon-29-Jan-24,00:00:00",42016,43891,41768,42560,28870201440
"Mon-05-Feb-24,00:00:00",42560,48604,42230,48328,33915590072
"Mon-12-Feb-24,00:00:00",48328,52880,47713,52175,47745450441
